path,domain,target_pr,status,notes
".claude/launch.json",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
".env.example",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
".gitignore",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
"app/[page]/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/admin/colecciones/[id]/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/colecciones/nuevo/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/colecciones/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/cuenta/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/layout.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/login/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/operaciones/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/pos/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/productos/[id]/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/productos/nuevo/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/productos/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/puntos/layout.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/puntos/ventas/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/admin/ventas-digitales/page.tsx",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"app/admin/ventas/page.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/api/adapters/admin-actions/route.ts",admin-panel,PR5,pending_review,"admin UI/data adapter"
"app/api/admin/auth/route.ts",storefront,PR8,pending_review,"public storefront/UI"
"app/api/admin/diagnostics/route.ts",storefront,PR8,pending_review,"public storefront/UI"
"app/api/admin/loyalty/rewards/route.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"app/api/admin/loyalty/rules/route.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"app/api/admin/loyalty/sales/remote-payment/route.ts",pos-tuu-sales,PR3,pending_review,"payment/POS/DTE transaction slice"
"app/api/admin/loyalty/sales/route.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"app/api/admin/products/route.ts",shopify-catalog,PR2,pending_review,"Shopify catalog/Admin API"
"app/api/cron/loyalty/expire-points/route.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"app/api/cron/shopify/sync-paid-orders/route.ts",loyalty-sales,PR4,already_in_main,"loyalty/digital sales transactional slice"
"app/api/payments/tuu/pos/webhook/route.ts",pos-tuu-sales,PR3,pending_review,"payment/POS/DTE transaction slice"
"app/api/webhooks/shopify/orders-paid/route.ts",loyalty-sales,PR4,already_in_main,"loyalty/digital sales transactional slice"
"app/api/webhooks/shopify/refunds/route.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"app/carrito/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/checkout/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/contacto/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/cuenta/(private)/canjes/page.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"app/cuenta/(private)/historial/page.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"app/cuenta/(private)/layout.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"app/cuenta/(private)/page.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"app/cuenta/(private)/recompensas/page.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"app/cuenta/login/page.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"app/globals.css",storefront,PR8,pending_review,"public storefront/UI"
"app/layout.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/novedades/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/nuestra-historia/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/product/[handle]/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/producto/[id]/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/regalos/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/search/[collection]/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/search/layout.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/search/loading.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/search/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/sitemap.ts",storefront,PR8,pending_review,"public storefront/UI"
"app/tienda/[handle]/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"app/tienda/page.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/admin/admin-chrome-guard.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"components/admin/admin-shell.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"components/admin/loyalty-pos.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"components/admin/product-form.tsx",admin-panel,PR5,pending_review,"admin UI/data adapter"
"components/cart/actions.ts",storefront,PR8,pending_review,"public storefront/UI"
"components/customer/account-shell.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"components/customer/submit-button.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"components/customer/transaction-list.tsx",customer-account,PR6,pending_review,"customer auth/dashboard"
"components/layout/navbar/index.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/brand-logo.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/cart-drawer.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/flower.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/image-slot.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/mouselabs-admin-link.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/newsletter.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/product-card.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/section-heading.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/site-footer.tsx",storefront,PR8,pending_review,"public storefront/UI"
"components/olffy/store-product-browser.tsx",storefront,PR8,pending_review,"public storefront/UI"
"docs/baseline-plan-maestro.md",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
"docs/entrega-plan-maestro.md",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
"docs/tuu-remote-pos.md",pos-tuu-sales,PR3,pending_review,"payment/POS/DTE transaction slice"
"lib/admin/auth.ts",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
"lib/admin/diagnostics-types.ts",admin-panel,PR5,pending_review,"admin UI/data adapter"
"lib/admin/diagnostics.ts",admin-panel,PR5,pending_review,"admin UI/data adapter"
"lib/admin/digital-sales.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/admin/rate-limit.ts",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
"lib/admin/session.ts",infra-auth-ci,PR0,pending_review,"configuration/auth/shared documentation"
"lib/customer/account.ts",customer-account,PR6,pending_review,"customer auth/dashboard"
"lib/customer/auth.ts",customer-account,PR6,pending_review,"customer auth/dashboard"
"lib/loyalty/eligibility.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/loyalty/guest-claims.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/loyalty/physical-pos.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/loyalty/reversals.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/loyalty/rules.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/loyalty/service.ts",loyalty-sales,PR4,pending_review,"loyalty/digital sales transactional slice"
"lib/shopify/abandoned-checkouts.ts",marketing-abandoned-carts,PR7,pending_review,"marketing/abandoned checkout slice"
"lib/shopify/admin-types.ts",shopify-catalog,PR2,pending_review,"Shopify catalog/Admin API"
"lib/shopify/admin.ts",shopify-catalog,PR2,pending_review,"Shopify catalog/Admin API"
"lib/shopify/index.ts",shopify-catalog,PR2,pending_review,"Shopify catalog/Admin API"
